,Festival_Name,Location,Attendance_Numbers,Visitor_Demographics,Economic_Impact,Music_Genre
0, UK,200000,18-35, Music Enthusiasts,£100 million,Various
1, Belgium,400000,18-30, EDM Fans,€150 million,EDM
2, Hungary,500000,18-40, International Attendees,€130 million,Various
3, Germany,90000,20-40, Rock Fans,€80 million,Rock
4, Denmark,130000,18-40, Alternative Music Lovers,DKK 70 million,Alternative
5, UK,100000,16-35, Rock and Indie Fans,£60 million,Rock/Indie
6, France,60000,30-60, Jazz Enthusiasts,€20 million,Jazz
7, Spain,40000,18-35, Pop and Indie Fans,€15 million,Pop/Indie
8, Serbia,200000,18-30, Electronic and Rock Fans,€50 million,Electronic/Rock
9, Spain,200000,20-40, Indie and Electronic Music Lovers,€70 million,Indie/Electronic
10, Germany,100000,18-35, Alternative Music Fans,€40 million,Alternative
11, Belgium,200000,18-35, Diverse Music Genres,€60 million,Various
12, Spain,150000,16-30, Pop and Rock Fans,€30 million,Pop/Rock
13, Belgium,200000,18-35, Rock and Electronic Fans,€55 million,Rock/Electronic
14, Belgium,150000,18-40, Rock Enthusiasts,€85 million,Rock
15, Spain,100000,20-40, Electronic Music Fans,€35 million,Electronic
16, Germany,75000,18-45, Metal Fans,€45 million,Metal
17, UK,80000,18-35, Rock and Pop Fans,£40 million,Rock/Pop
18, Netherlands,90000,18-30, EDM Fans,€25 million,EDM
19, UK,40000,18-35, Indie and Alternative Music Fans,£15 million,Indie/Alternative
20, UK,45000,18-40, Diverse Music and Arts Fans,£20 million,Various
21, UK,30000,18-35, Music and Action Sports Fans,£12 million,Various
22, UK,25000,18-40, Indie and Folk Music Fans,£10 million,Indie/Folk
23, Germany,40000,20-45, Metal and Hardcore Fans,€30 million,Metal/Hardcore
24, UK,80000,18-30, Electronic and Indie Music Fans,£25 million,Electronic/Indie
25, UK,60000,18-35, EDM Fans,£30 million,EDM
26, Australia,40000,18-35, Indie and Electronic Fans,AU$20 million,Indie/Electronic
27, UK,70000,18-35, EDM Fans,£35 million,EDM
28, Switzerland,20000,25-60, Jazz and Blues Fans,CHF 10 million,Jazz/Blues
29, Uganda,20000,18-40, Afrobeat and Electronic Fans,USD 5 million,Afrobeat/Electronic
30, Spain,35000,18-40, Indie and Electronic Fans,€18 million,Indie/Electronic
31, USA,47000,25-50, Film and Music Fans,USD 25 million,Various
32, Spain,80000,18-35, Rock and Alternative Fans,€45 million,Rock/Alternative
33, Poland,60000,18-35, Diverse Music Genres,PLN 30 million,Various
34, Switzerland,30000,18-40, Pop and Rock Fans,CHF 8 million,Pop/Rock
35, UK,45000,18-35, Electronic and Urban Music Fans,£22 million,Electronic/Urban
36, Greece,30000,18-35, Rock and Electronic Fans,€12 million,Rock/Electronic
37, Finland,35000,18-35, Pop and Rock Fans,€10 million,Pop/Rock
38, Germany,50000,18-35, Electronic and Indie Fans,€25 million,Electronic/Indie
39, UK,30000,18-35, Electronic and Dance Fans,£15 million,Electronic/Dance
40, UK,60000,18-40, Diverse Music and Arts Fans,£40 million,Various
41, USA,125000,18-40, Various Music Fans,USD 50 million,Various
42, France,75000,18-35, Rock and Electronic Fans,€30 million,Rock/Electronic
43, Spain,35000,18-35, Electronic and Rock Fans,€15 million,Electronic/Rock
44, Mexico,40000,25-60, Jazz Fans,MXN 20 million,Jazz
